source_id,source_type,source_url,what_it_supports,archived,local_path,sha256,bytes,fetched_at,notes
S001,legal/practice memo,https://www.nagashima.com/wp-content/uploads/2024/12/capital_no44.pdf,"Policy shareholding sale methods: offering, block, market, off-auction distribution, bilateral sale, issuer buyback/ToSTNeT-3/self-tender.",TRUE,raw/pdfs/S001__nagashima_capital_no44.pdf,27b49a5576de36e78224e97b56c6e117c7b84d5f565d97cbe2381a8d04991c68,776031,2026-07-07T16:42:12+09:00,
S002,JPX official,https://www.jpx.co.jp/equities/trading/own-company-shares/index.html,Issuer repurchases can use ToSTNeT-2 and ToSTNeT-3 in addition to regular market buying.,TRUE,raw/pdfs/S002__jpx_jishakabu_soutei_shitsumon_ja.pdf,23fe3faa040329fe718b4f19391f20569732c75cc43657db0ec5764effdbbc4c,508149,2026-07-07T16:42:12+09:00,
S003,Company disclosure,https://global.honda/content/dam/site/global-jp/news-new/cq_img/2024/07/c240704/c240704.pdf,Honda secondary offering and buyback authorization details.,TRUE,raw/pdfs/S003__honda_c240704.pdf,414e784f0e08eac75c9bb80e4fc48501032a1421a9c4bc8ac7e585b4e25bf774,501990,2026-07-07T16:42:12+09:00,
S004,Company disclosure,https://www.aisin.com/en/news/uploads/2027062701en.pdf,"Aisin secondary offering, sellers, OA, and buyback support.",TRUE,raw/pdfs/S004__aisin_2027062701en.pdf,116ea7d8c85529969df722ba569ea1fa2fd9d742fc05bac1324db8d3bf1a50cd,342711,2026-07-07T16:42:12+09:00,URL path contains 2027; 一次PDF保存必須。
S005,Company disclosure,https://www.nse.or.jp/listing/search/files/140120240328562091.pdf,DENSO sale of Toyota Industries shares and share forward agreement designed to limit market impact.,TRUE,raw/pdfs/S005__denso_toyota_industries_140120240328562091.pdf,41fda6326cf87e649425f88a5a67cb2bbbce5be4535a121f7499ae7e9a5310f5,169365,2026-07-07T16:42:12+09:00,
S006,Company disclosure,https://www.taxan.co.jp/jp/ir/upload_file/tdnrelease/8154_20250807533725_P01_.pdf,Kaga Electronics ToSTNeT-3 buyback prompted by bank policy holding reduction.,TRUE,raw/pdfs/S006__kaga_electronics_8154_20250807533725_P01_.pdf,e6df94a3ebe1e9a23411d382517cb98fbd2175816b34285b05c404313450d29f,440911,2026-07-07T16:42:12+09:00,
S007,Company disclosure,https://www.nintendo.co.jp/ir/pdf/2026/260227.pdf,Nintendo secondary offering and sellers.,TRUE,raw/pdfs/S007__nintendo_260227.pdf,1d653821351ac285bb48782367079436f5e74fade514b7a5a122b755530be1c7,199620,2026-07-07T16:42:12+09:00,
S008,Company disclosure,https://www.nintendo.co.jp/ir/pdf/2026/260227_2.pdf,Nintendo ToSTNeT-3 buyback authorization.,TRUE,raw/pdfs/S008__nintendo_260227_2.pdf,ffc46437d5a1469df15f92954e0009c148d127bc5b51f55b3ab0d4ae32e79628,143975,2026-07-07T16:42:12+09:00,
S009,Company disclosure,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260303/20260302574028.pdf,DeNA sale into Nintendo ToSTNeT-3 buyback and reduction of planned offering shares.,TRUE,raw/pdfs/S009__dena_yahoo_20260302574028.pdf,94e36964be58b43de2cf53fd3d80c57c9374a1ef032ea15f898068dfa04acf05,237919,2026-07-07T16:42:12+09:00,Yahoo CDN直リンク。一次PDF保存必須。
S010,Reuters,https://www.reuters.com/sustainability/sustainable-finance-reporting/nintendo-plans-around-19-billion-share-sale-by-kyoto-bank-others-sources-say-2026-02-27/,Reuters estimate of Nintendo share sale value and context of strategic shareholding unwind.,FALSE,,,,2026-07-07T16:42:12+09:00,
